ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.01, 0.85, 3, target_accuracy, 320, 309, 0, 0.965625, 0.9935275080906149, 0.9938271604938271, 0.9938271604938271, 0.9938271604938271, 0.9935122197026959, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9805825242718447, 0.9815950920245398, 0.975609756097561, 0.9876543209876543, 0.9802217183169564, 0.9967637540453075, 0.9969230769230769, 0.9938650306748467, 1.0, 0.9965986394557823, 0.9838187702265372, 0.9846153846153846, 0.9815950920245399, 0.9876543209876543, 0.9836230788611741
gini, 0.97, 0.01, 0.85, 3, target_accuracy, 320, 301, 0, 0.940625, 0.9933554817275747, 0.9937888198757764, 0.9937888198757764, 0.9937888198757764, 0.9933229813664597, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9833887043189369, 0.9846153846153846, 0.975609756097561, 0.9937888198757764, 0.982608695652174, 0.9966777408637874, 0.9969040247678018, 0.9938271604938271, 1.0, 0.9964285714285714, 0.9867109634551495, 0.9876543209876544, 0.9815950920245399, 0.9937888198757764, 0.9861801242236026
gini, 0.98, 0.01, 0.85, 3, target_accuracy, 320, 297, 0, 0.928125, 0.9932659932659933, 0.9937888198757764, 0.9937888198757764, 0.9937888198757764, 0.993217939349653, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9831649831649831, 0.9846153846153846, 0.975609756097561, 0.9937888198757764, 0.982188527584947, 0.9966329966329966, 0.9969040247678018, 0.9938271604938271, 1.0, 0.9963235294117647, 0.9865319865319865, 0.9876543209876544, 0.9815950920245399, 0.9937888198757764, 0.9858649981731823
gini, 0.99, 0.01, 0.85, 3, target_accuracy, 320, 279, 0, 0.871875, 0.992831541218638, 0.9931506849315068, 0.9931506849315068, 0.9931506849315068, 0.9928159439695127, 1.0, 1.0, 1.0, 1.0, 1.0, 0.982078853046595, 0.983050847457627, 0.9731543624161074, 0.9931506849315068, 0.981537748480791, 0.996415770609319, 0.9965870307167235, 0.9931972789115646, 1.0, 0.9962406015037594, 0.985663082437276, 0.9863945578231292, 0.9797297297297297, 0.9931506849315068, 0.9852971469770316
gini, 0.995, 0.01, 0.85, 3, target_accuracy, 320, 291, 0, 0.909375, 0.993127147766323, 0.9936708860759493, 0.9936708860759493, 0.9936708860759493, 0.993076044541734, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9828178694158075, 0.9843260188087773, 0.9751552795031055, 0.9936708860759493, 0.9817978490530123, 0.9965635738831615, 0.9968454258675079, 0.9937106918238994, 1.0, 0.9962406015037594, 0.9862542955326461, 0.9874213836477987, 0.98125, 0.9936708860759493, 0.9855572475492529
gini, 0.95, 0.01, 0.9, 3, target_accuracy, 320, 303, 0, 0.946875, 0.9933993399339934, 0.9937106918238994, 0.9937106918238994, 0.9937106918238994, 0.9933831236897275, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9867986798679867, 0.9874999999999999, 0.9813664596273292, 0.9937106918238994, 0.986438679245283, 0.9966996699669967, 0.9968652037617556, 0.99375, 1.0, 0.9965277777777778, 0.9900990099009901, 0.9905956112852665, 0.9875, 0.9937106918238994, 0.9899109014675053
gini, 0.97, 0.01, 0.9, 3, target_accuracy, 320, 298, 0, 0.93125, 0.9932885906040269, 0.9937106918238994, 0.9937106918238994, 0.9937106918238994, 0.9932582236097914, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9865771812080537, 0.9874999999999999, 0.9813664596273292, 0.9937106918238994, 0.9860639790054749, 0.9966442953020134, 0.9968652037617556, 0.99375, 1.0, 0.9964028776978417, 0.9899328859060402, 0.9905956112852665, 0.9875, 0.9937106918238994, 0.9896611013076332
gini, 0.98, 0.01, 0.9, 3, target_accuracy, 320, 294, 0, 0.91875, 0.9931972789115646, 0.9937106918238994, 0.9937106918238994, 0.9937106918238994, 0.993151642208246, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9863945578231292, 0.9874999999999999, 0.9813664596273292, 0.9937106918238994, 0.9857442348008386, 0.9965986394557823, 0.9968652037617556, 0.99375, 1.0, 0.9962962962962962, 0.9897959183673469, 0.9905956112852665, 0.9875, 0.9937106918238994, 0.9894479385045423
gini, 0.99, 0.01, 0.9, 3, target_accuracy, 320, 288, 0, 0.9, 0.9930555555555556, 0.9935897435897436, 0.9935897435897436, 0.9935897435897436, 0.993006993006993, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9861111111111112, 0.9872611464968154, 0.9810126582278481, 0.9935897435897436, 0.9854312354312355, 0.9965277777777778, 0.9968051118210862, 0.9936305732484076, 1.0, 0.9962121212121212, 0.9895833333333334, 0.9904153354632588, 0.9872611464968153, 0.9935897435897436, 0.9892191142191142
gini, 0.995, 0.01, 0.9, 3, target_accuracy, 320, 288, 0, 0.9, 0.9930555555555556, 0.9935897435897436, 0.9935897435897436, 0.9935897435897436, 0.993006993006993, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9861111111111112, 0.9872611464968154, 0.9810126582278481, 0.9935897435897436, 0.9854312354312355, 0.9965277777777778, 0.9968051118210862, 0.9936305732484076, 1.0, 0.9962121212121212, 0.9895833333333334, 0.9904153354632588, 0.9872611464968153, 0.9935897435897436, 0.9892191142191142
gini, 0.95, 0.01, 0.95, 3, target_accuracy, 320, 306, 0, 0.95625, 0.9934640522875817, 0.9938271604938271, 0.9938271604938271, 0.9938271604938271, 0.9934413580246914, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9869281045751634, 0.9877300613496932, 0.9817073170731707, 0.9938271604938271, 0.9864969135802468, 0.9967320261437909, 0.9969230769230769, 0.9938650306748467, 1.0, 0.9965277777777778, 0.9869281045751634, 0.9877300613496932, 0.9817073170731707, 0.9938271604938271, 0.9864969135802468
gini, 0.97, 0.01, 0.95, 3, target_accuracy, 320, 301, 0, 0.940625, 0.9933554817275747, 0.9938271604938271, 0.9938271604938271, 0.9938271604938271, 0.9933164579447553, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9867109634551495, 0.9877300613496932, 0.9817073170731707, 0.9938271604938271, 0.9861222133404388, 0.9966777408637874, 0.9969230769230769, 0.9938650306748467, 1.0, 0.9964028776978417, 0.9867109634551495, 0.9877300613496932, 0.9817073170731707, 0.9938271604938271, 0.9861222133404388
gini, 0.98, 0.01, 0.95, 3, target_accuracy, 320, 297, 0, 0.928125, 0.9932659932659933, 0.9938271604938271, 0.9938271604938271, 0.9938271604938271, 0.9932098765432099, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9865319865319865, 0.9877300613496932, 0.9817073170731707, 0.9938271604938271, 0.9858024691358025, 0.9966329966329966, 0.9969230769230769, 0.9938650306748467, 1.0, 0.9962962962962962, 0.9865319865319865, 0.9877300613496932, 0.9817073170731707, 0.9938271604938271, 0.9858024691358025
gini, 0.99, 0.01, 0.95, 3, target_accuracy, 320, 291, 0, 0.909375, 0.993127147766323, 0.9938271604938271, 0.9938271604938271, 0.9938271604938271, 0.9930376112546655, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9862542955326461, 0.9877300613496932, 0.9817073170731707, 0.9938271604938271, 0.9852856732701692, 0.9965635738831615, 0.9969230769230769, 0.9938650306748467, 1.0, 0.9961240310077519, 0.9862542955326461, 0.9877300613496932, 0.9817073170731707, 0.9938271604938271, 0.9852856732701692
