ensemble_criterion, chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score
gini, 0.95, 0.01, 0.85, 1, target_accuracy, 175, 85, 0, 0.4857142857142857, 0.9176470588235294, 0.6666666666666667, 0.875, 0.5384615384615384, 0.7622863247863247, 0.8823529411764706, 0.6153846153846154, 0.6153846153846154, 0.6153846153846154, 0.7729700854700855, 0.9058823529411765, 0.5555555555555556, 1.0, 0.38461538461538464, 0.6923076923076923, 0.8705882352941177, 0.4761904761904762, 0.625, 0.38461538461538464, 0.6714743589743589, 0.8705882352941177, 0.5925925925925927, 0.5714285714285714, 0.6153846153846154, 0.7660256410256411
gini, 0.97, 0.01, 0.85, 1, target_accuracy, 175, 73, 0, 0.41714285714285715, 0.9452054794520548, 0.7499999999999999, 1.0, 0.6, 0.8, 0.9041095890410958, 0.6666666666666666, 0.6363636363636364, 0.7, 0.8182539682539682, 0.9178082191780822, 0.5714285714285715, 1.0, 0.4, 0.7, 0.8904109589041096, 0.5, 0.6666666666666666, 0.4, 0.684126984126984, 0.8904109589041096, 0.6363636363636365, 0.5833333333333334, 0.7, 0.8103174603174603
gini, 0.98, 0.01, 0.85, 1, target_accuracy, 175, 116, 0, 0.6628571428571428, 0.896551724137931, 0.5714285714285714, 0.8888888888888888, 0.42105263157894735, 0.705371676614216, 0.8620689655172413, 0.5555555555555555, 0.5882352941176471, 0.5263157894736842, 0.7270754205100379, 0.8706896551724138, 0.34782608695652173, 1.0, 0.21052631578947367, 0.6052631578947368, 0.8448275862068966, 0.3076923076923077, 0.5714285714285714, 0.21052631578947367, 0.5897992403689637, 0.8620689655172413, 0.42857142857142855, 0.6666666666666666, 0.3157894736842105, 0.6424308193163322
gini, 0.99, 0.01, 0.85, 1, target_accuracy, 175, 115, 0, 0.6571428571428571, 0.9043478260869565, 0.5925925925925926, 0.8888888888888888, 0.4444444444444444, 0.7170675830469645, 0.8608695652173913, 0.5294117647058824, 0.5625, 0.5, 0.7139175257731959, 0.8782608695652174, 0.3636363636363636, 1.0, 0.2222222222222222, 0.6111111111111112, 0.8521739130434782, 0.32, 0.5714285714285714, 0.2222222222222222, 0.5956471935853379, 0.8608695652173913, 0.3846153846153846, 0.625, 0.2777777777777778, 0.6234249713631156
gini, 0.995, 0.01, 0.85, 1, target_accuracy, 175, 113, 0, 0.6457142857142857, 0.9026548672566371, 0.5925925925925926, 0.8888888888888888, 0.4444444444444444, 0.7169590643274854, 0.8584070796460177, 0.5294117647058824, 0.5625, 0.5, 0.713157894736842, 0.8761061946902655, 0.3636363636363636, 1.0, 0.2222222222222222, 0.6111111111111112, 0.8584070796460177, 0.3333333333333333, 0.6666666666666666, 0.2222222222222222, 0.6005847953216376, 0.8761061946902655, 0.4166666666666667, 0.8333333333333334, 0.2777777777777778, 0.633625730994152
gini, 0.95, 0.01, 0.9, 1, target_accuracy, 175, 152, 0, 0.8685714285714285, 0.9144736842105263, 0.5806451612903226, 0.8181818181818182, 0.45, 0.7174242424242424, 0.881578947368421, 0.5263157894736842, 0.5555555555555556, 0.5, 0.7196969696969697, 0.9013157894736842, 0.4, 1.0, 0.25, 0.625, 0.881578947368421, 0.35714285714285715, 0.625, 0.25, 0.6136363636363636, 0.8947368421052632, 0.4285714285714285, 0.75, 0.3, 0.6424242424242425
gini, 0.97, 0.01, 0.9, 1, target_accuracy, 175, 146, 0, 0.8342857142857143, 0.9246575342465754, 0.5925925925925926, 0.8888888888888888, 0.4444444444444444, 0.7183159722222222, 0.8904109589041096, 0.5294117647058824, 0.5625, 0.5, 0.72265625, 0.9041095890410958, 0.3636363636363636, 1.0, 0.2222222222222222, 0.6111111111111112, 0.8904109589041096, 0.3333333333333333, 0.6666666666666666, 0.2222222222222222, 0.6032986111111112, 0.9041095890410958, 0.4166666666666667, 0.8333333333333334, 0.2777777777777778, 0.6349826388888888
gini, 0.98, 0.01, 0.9, 1, target_accuracy, 175, 145, 0, 0.8285714285714286, 0.9241379310344827, 0.5925925925925926, 0.8888888888888888, 0.4444444444444444, 0.7182852143482065, 0.8896551724137931, 0.5294117647058824, 0.5625, 0.5, 0.7224409448818897, 0.903448275862069, 0.3636363636363636, 1.0, 0.2222222222222222, 0.6111111111111112, 0.8896551724137931, 0.3333333333333333, 0.6666666666666666, 0.2222222222222222, 0.6032370953630797, 0.903448275862069, 0.4166666666666667, 0.8333333333333334, 0.2777777777777778, 0.6349518810148731
gini, 0.99, 0.01, 0.9, 1, target_accuracy, 175, 145, 0, 0.8285714285714286, 0.9241379310344827, 0.5925925925925926, 0.8888888888888888, 0.4444444444444444, 0.7182852143482065, 0.8896551724137931, 0.5294117647058824, 0.5625, 0.5, 0.7224409448818897, 0.903448275862069, 0.3636363636363636, 1.0, 0.2222222222222222, 0.6111111111111112, 0.8896551724137931, 0.3333333333333333, 0.6666666666666666, 0.2222222222222222, 0.6032370953630797, 0.903448275862069, 0.4166666666666667, 0.8333333333333334, 0.2777777777777778, 0.6349518810148731
gini, 0.995, 0.01, 0.9, 1, target_accuracy, 175, 145, 0, 0.8285714285714286, 0.9241379310344827, 0.5925925925925926, 0.8888888888888888, 0.4444444444444444, 0.7182852143482065, 0.8896551724137931, 0.5294117647058824, 0.5625, 0.5, 0.7224409448818897, 0.903448275862069, 0.3636363636363636, 1.0, 0.2222222222222222, 0.6111111111111112, 0.8896551724137931, 0.3333333333333333, 0.6666666666666666, 0.2222222222222222, 0.6032370953630797, 0.903448275862069, 0.4166666666666667, 0.8333333333333334, 0.2777777777777778, 0.6349518810148731
gini, 0.95, 0.01, 0.95, 1, target_accuracy, 175, 105, 0, 0.6, 0.9523809523809523, 0.7368421052631579, 0.875, 0.6363636363636364, 0.812862669245648, 0.9142857142857143, 0.6086956521739131, 0.5833333333333334, 0.6363636363636364, 0.791586073500967, 0.9428571428571428, 0.625, 1.0, 0.45454545454545453, 0.7272727272727273, 0.9238095238095239, 0.5555555555555556, 0.7142857142857143, 0.45454545454545453, 0.7166344294003869, 0.9238095238095239, 0.6363636363636364, 0.6363636363636364, 0.6363636363636364, 0.7969052224371372
gini, 0.97, 0.01, 0.95, 1, target_accuracy, 175, 99, 0, 0.5657142857142857, 0.9696969696969697, 0.8, 1.0, 0.6666666666666666, 0.8333333333333333, 0.9292929292929293, 0.631578947368421, 0.6, 0.6666666666666666, 0.8111111111111111, 0.9494949494949495, 0.6153846153846153, 1.0, 0.4444444444444444, 0.7222222222222222, 0.9393939393939394, 0.5714285714285714, 0.8, 0.4444444444444444, 0.7166666666666667, 0.9393939393939394, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.8166666666666665
